,zip_code
10701.0,725
20781.0,725
10306.0,723
2816.0,721
17404.0,720
19119.0,719
2125.0,719
44512.0,718
8015.0,718
10312.0,716
13619.0,714
7869.0,713
21076.0,712
7112.0,711
10708.0,710
19122.0,709
15461.0,709
20012.0,709
16323.0,708
11756.0,706
18210.0,705
7621.0,704
7728.0,703
11510.0,702
22443.0,702
1604.0,702
21009.0,701
13421.0,701
20171.0,701
12524.0,700
15057.0,699
7002.0,698
8069.0,698
26501.0,695
19083.0,694
20879.0,694
2131.0,693
19608.0,692
7626.0,691
7458.0,690
7024.0,690
8081.0,690
15332.0,688
4901.0,687
6708.0,687
21601.0,686
21225.0,684
2148.0,683
17044.0,683
21403.0,683
26003.0,682
13205.0,682
19130.0,681
6074.0,680
22407.0,680
18411.0,680
12061.0,678
8087.0,676
11422.0,675
15085.0,673
7631.0,672
16105.0,672
20832.0,671
1230.0,671
8302.0,671
17522.0,670
13662.0,670
18103.0,670
22312.0,669
8401.0,668
7843.0,668
2135.0,667
19141.0,666
15045.0,664
20147.0,663
7928.0,663
7450.0,663
7480.0,662
13815.0,661
6704.0,661
12033.0,661
12308.0,660
8360.0,659
11566.0,659
10552.0,659
10304.0,658
8610.0,658
19428.0,657
19023.0,657
11233.0,655
7410.0,654
1844.0,652
6002.0,651
21801.0,649
10562.0,649
15131.0,649
12210.0,648
18201.0,648
7103.0,648
17257.0,648
16146.0,647
6450.0,646
21001.0,646
7032.0,645
21075.0,645
15101.0,644
7026.0,642
13212.0,641
20876.0,641
11743.0,640
18969.0,640
6489.0,640
12051.0,640
18252.0,639
22203.0,638
16601.0,638
18073.0,637
7040.0,637
19123.0,636
22026.0,636
18504.0,635
22102.0,633
19087.0,632
12018.0,631
14052.0,631
11423.0,631
15065.0,630
19422.0,630
14206.0,628
13090.0,628
7601.0,628
6107.0,628
1562.0,628
22151.0,627
22181.0,627
6880.0,627
7090.0,626
7461.0,625
13088.0,624
20607.0,624
7920.0,622
10954.0,622
19803.0,622
15009.0,622
949.0,621
14127.0,621
18974.0,619
7039.0,619
6111.0,618
19440.0,618
21014.0,618
17013.0,617
22307.0,617
8361.0,617
19133.0,616
1890.0,616
19136.0,615
6033.0,615
6840.0,614
7036.0,614
20659.0,614
21146.0,613
7644.0,612
13208.0,612
10977.0,610
7059.0,609
21144.0,609
2186.0,609
2124.0,608
17872.0,608
17112.0,607
956.0,605
8210.0,604
6051.0,604
16214.0,603
15071.0,603
20877.0,602
11428.0,602
12170.0,601
12572.0,601
6451.0,599
17225.0,599
20722.0,598
7043.0,595
15104.0,595
7834.0,594
22303.0,594
1220.0,594
1085.0,594
15145.0,593
7506.0,592
6705.0,592
6108.0,592
21244.0,591
10462.0,591
16125.0,591
11212.0,590
17745.0,587
19050.0,586
15320.0,585
2911.0,584
21157.0,583
8807.0,583
10310.0,583
8755.0,582
10710.0,582
13323.0,581
7306.0,581
10598.0,581
4101.0,579
8060.0,578
21784.0,578
2169.0,578
11772.0,578
21046.0,577
11704.0,576
11210.0,576
7735.0,575
646.0,575
2536.0,573
19605.0,573
11211.0,573
22041.0,572
7087.0,572
15656.0,571
10980.0,571
14609.0,570
11530.0,569
15232.0,569
7502.0,569
15129.0,568
7456.0,568
11968.0,567
2818.0,567
1108.0,567
15690.0,567
18337.0,566
2026.0,566
7860.0,564
15906.0,564
7628.0,564
15632.0,563
14843.0,563
2886.0,563
20619.0,563
1301.0,563
14220.0,562
12413.0,562
13827.0,561
14225.0,561
11354.0,560
21061.0,559
6112.0,558
12831.0,558
22485.0,558
21205.0,558
17325.0,558
19152.0,558
5301.0,557
7405.0,556
18938.0,555
11590.0,554
11228.0,554
6070.0,554
7417.0,554
19027.0,553
17837.0,552
15445.0,552
19703.0,551
19518.0,551
7430.0,549
11214.0,549
2360.0,549
19943.0,549
2478.0,547
7508.0,547
17408.0,546
10579.0,546
11967.0,546
7670.0,546
10309.0,546
11581.0,544
7424.0,543
14760.0,543
15213.0,542
6042.0,542
14621.0,539
21211.0,539
7065.0,539
2891.0,539
10022.0,538
12701.0,538
18336.0,537
12801.0,535
11779.0,535
15626.0,535
22602.0,533
4401.0,533
11803.0,533
6776.0,533
14221.0,532
21030.0,532
7663.0,532
19525.0,531
11563.0,530
12498.0,530
21114.0,530
6226.0,530
11691.0,528
6903.0,528
14086.0,527
